"Timestamp, Description",Interst/Alarm,Confusion/Understanding,Frusteration/Relief,Sorrow/Joy,Anger/Gratitude,Fear/Hope,Boredom/Surprise,Disgust/Desire
1632165306.4015794,"The robot moved off the charger, made a sound, and moved somewhat near the edge of the table.",4,3,3,3,3,3,3,3
1632173681.270363,Came forward and raised its arms up then back down.,1,1,3,2,3,3,2,3
1632242471.8809865,It went forward and made a sad sound.,3,2,3,2,3,3,2,3
1632251439.4356546,The robot lifted its arms and looked around. It seems like it was curious or confused or afraid. It may have been trying to hide its face.,4,2,3,3,3,2,4,2
1632328450.1190789,"Shifting eyes, generally curious expression, rolled out of charger to look at the participant.",1,2,3,4,3,3,5,3
1632331562.7259362,"It moved off its pad, raised up its arm, and moved to my right  but found nothing.",1,1,3,3,3,3,5,3
1632332804.2331758,"It appeared as if the robot was taunting me, raising it's appendage and making a sound similar to that of ""Kachow""",3,4,3,3,3,3,4,3
1632336869.8345375,It moved slowly and then hanged its head,3,4,2,1,3,3,1,3
1633111512.535274,"Cosmo lifted his handle jaggedly, moved his head down, gave a look of confusion/frustration and lowered his handle.",3,1,2,3,3,3,2,3
1633111764.6093118,"Cosmo tilted his head down slightly, however replaying the robot behavior has no movement, only a mechanical sound",4,4,2,2,2,2,2,2
1633111934.3462574,Cosmo curiously said hello and lifted his handle.,1,3,4,4,4,5,5,4
1633111934.3462574,Cosmo curiously said hello and lifted his handle.,1,3,4,4,4,5,5,4
1633112060.5559237,"Cosmo lifted his handle and squinted his eyes, sort of like a shrug.",3,2,2,3,2,3,2,3
1633112167.4213157,Cosmo lifted his head to look at something,1,2,3,3,3,4,4,4
1633112259.4704072,Cosmo lifted his handle and drove forward with his head up,2,5,4,3,4,4,3,5
1633112382.215731,Cosmo drove forward and lowered his handle to the ground,3,2,2,2,3,3,2,4
1633112480.6485796,Turned a smidge,4,2,3,3,3,3,4,3
1633112570.3714707,"The first time it played the behavior it was different. It lifted his handle all the way up, while now it moves it just a little. Cosmo made a sound as if he was asking a question, or confirming something with you.",4,2,3,3,3,3,5,2
1633112737.805321,Lifted head and handle a little bit.,2,4,2,3,3,3,3,3
1633112808.0759268,"Cosmo lowered his handle to the table. Replaying the behavior has him do nothing, probably because his position isn't reset.",2,4,2,2,3,4,2,3
1633112933.9976113,"Turned a bit, made a sound like asking a question, and lifted his handle to the top.",5,2,3,3,3,2,5,3
1633113048.544654,"Cosmo's jaw dropped (rather, his handle) and he went bug-eyed and made a sound like, ""what.""",4,2,3,3,3,3,5,2
1633113160.3533618,"Lifts his handle, looks up, then turns 180 degrees",3,2,1,3,2,3,2,2
1633113255.7768486,"lifts handle to top, lowers head, turns 90 degrees",2,2,4,3,3,3,4,3
1633113360.1150336,"lowers handle, moves forward and makes a question-like sound, then he figures it out with another sound when moving forward and looking up.",1,5,5,4,4,3,4,3
1633113482.4433959,tilts head down,3,4,4,2,3,4,3,4
1633113551.5419364,turns 180 degrees and moves head to neutral,2,3,3,4,3,3,3,3
1633118363.4047163,"It moved it's head down slightly in 2 increments, and made a small descending noise. It seemed to fill the role of a conversational filler demonstrating understanding.",2,4,4,3,4,3,2,3
1633118581.4060125,"It rotated it'self in a clockwise direction, raised it's arm and made a high pitched phoneme ""a"" then lowered it's arm and made a lower pitched phoneme ""e"". Maybe just slightly board?",3,3,3,3,3,3,2,3
1633118729.882715,"It looked down with it's arm raised and started moving, stopped moving then lowered it's arm while simultaneously raising it's head.",3,3,3,2,3,3,2,3
1633118854.3597655,it moved forward slightly then slowly raised it's head.,2,4,3,3,3,5,3,5
