"Timestamp, Description",Interst/Alarm,Confusion/Understanding,Frusteration/Relief,Sorrow/Joy,Anger/Gratitude,Fear/Hope,Boredom/Surprise,Disgust/Desire
1617740862.2616577,test,1,1,1,1,1,1,1,1
1617916426.4783866,confused and asking for clarification almost,3,2,4,3,2,4,1,1
1619712628.7415078,"His eyes half closed, his head tilted up, his arms reached forward. He looked like he wanted to be picked up.",2,4,3,3,4,4,3,5
1619712728.844478,"eyes were half open, head tilted up and down slightly. Looked tired.",3,3,2,3,3,3,1,3
1619712845.8391554,"eyes were looking concerned to the left, then kinda drunk? like the loopy emoji, one arm moved a bit.",3,2,3,3,3,3,4,3
1619712970.3190892,"one arm moved about halfway up twice head tilted down a couple times, eyes half closed. Seemed disappointed/tired",3,3,2,2,3,3,2,3
1619713078.9823556,"Head tilted up a few times, both arms went up high then back down and then one arm went up then back down. Seemed surprised or excited",1,3,3,5,3,4,5,3
1619713187.696467,"Head tilting up a few times, both arms up a tiny bit, and then one arm up halfway. Looked like he was accusing me of something, 10/10 would fight",3,3,3,3,2,3,3,4
1619713371.3021836,"Both arms up a little bit, kinda like a shrug, eyes half closed, looked up and to the right (from my perspective), lifted one arm up high and then let it drop. The head tilt up is what made me see a little bit of desire ",3,3,3,3,3,3,1,4
1619713561.6655798,"eyes half closed, head tilting slightly down a couple times",3,3,3,3,3,3,1,3
1619713640.524142,eyes half shut and then eyes went wide and arms went up ,5,3,3,3,3,1,5,3
1619713725.02319,"Look to the left (from my perspective) and then slowly back to center, eyes blinked a few times",2,2,3,3,3,3,2,4
1619713844.9509923,"eyes half closed, head a little droopy, and then eyes went wide and looked to the left while head tilted away from the direction it was looking",2,2,3,3,3,3,5,3
1620327916.9659173,The robot had stars in its eyes like it saw something it liked. It then looked like it went to grab/hug it by moving its arms and looked tired. It must have been rejected or not gotten what it wanted because it then looked angry,3,3,1,4,1,3,4,5
1620328046.428543,The robot raised one arm and then lowered it. It blinked a couple times and remained pretty neutral. It almost looked like it was agreeing with someone in a conversation,2,4,3,3,3,3,2,3
1620328165.9979303,The robot moved its head to te side and then started wvaving its arms and rolling its eyes around. Then it showed some puppy dog eyes. It was almost like it was trying to be silly to gain affection,3,2,3,4,3,4,3,5
1620328315.7865946,The robot nodded its head in agreement,2,5,3,3,3,3,3,3
1620328380.9316356,The robot sort of squinted its eyes and threw up its arms. It felt like it did something and felt bad about it.,3,2,2,1,3,3,4,3
1620328477.482601,The robot put its arm out like it was either saying something or gretting someone. It then said umm and blinked it eyes in confusion.,4,1,3,3,3,3,3,3
1620328561.1314175,"The robot opened its eyes VERY wide like it saw something shocking and said ""ah""",5,2,3,3,3,2,5,3
1620328647.6332474,The robot's eyes turned into flames and crossed like it just got very mad about something it saw.,4,2,2,3,1,3,4,2
1620328735.603643,The robot put one arm out and then made some goofy eyes. After a second it sort of wiggled both arms and then looked mildly surprised at something,4,2,3,3,3,3,4,2
1620328843.3394911,The robot was looking really bored and then all of a sudden got angry and started scowling,3,3,3,3,1,3,1,3
1620328918.658034,The robot got big heart eyes like it saw someone it was really attracted to. It then moved its arm like it was shaking hands with that persona and its eyelids became heavy as if the robot were swooning. Then its eyes turned into big stars like it was totally dazzled by what just happened,2,3,3,5,3,4,4,5
1620329044.7350082,"The robot was saying ""ah"" and nodding its head. Then its eyes got really big. It was like it was listening to a conversation and then someone said something shocking to it",1,3,3,3,3,3,5,2
